Time,Toa,Tiaref,P_EDC,P_LDC,qin,qinf,qve,qdhw,qdc,m_MS,m_Bu
720000,10.71,10.71,0.47645,30,189413.6405,0,0,441000,168100,24.49078,50
723600,11.04,11.04,0.47645,30,187925.9777,0,0,646800,171600,24.397686,50
727200,10.93,10.93,0.47645,30,196941.1444,0,0,882000,174000,24.436724,50
730800,10.89,10.89,0.47645,30,220050.0529,0,0,1029000,172000,24.534334,50
734400,10.47,10.47,0.47645,30,251759.996,0,0,1176000,172000,24.492294,50
738000,11.4,11.4,0.47645,30,281526.877,0,0,1234800,179400,24.200706,50
741600,11.49,11.49,0.47645,30,297638.8914,0,0,1234800,180300,24.142,50
745200,11.61,11.61,0.47645,30,291763.5149,0,0,1176000,180200,24.176046,50
748800,11.18,11.18,0.47645,30,267428.6057,0,0,1029000,157800,24.230852,50
752400,11.56,11.56,0.47645,30,235285.7922,0,0,882000,168200,24.147047,50
756000,11.47,11.47,0.47645,30,206793.0514,0,0,735000,169800,24.205086,50
759600,11.23,11.23,0.47645,30,190977.5762,0,0,588000,168200,24.39978,50
763200,10.55,10.55,0.47645,30,187897.2197,0,0,441000,164500,24.746994,50
766800,10.03,10.03,0.47645,30,191997.9517,0,0,352800,149000,24.935331,50
770400,10.13,10.13,0.47645,30,197846.7593,0,0,264600,129400,24.946314,50
774000,9.96,10.08,0.47645,30,201307.4466,9094.213333,12874.176,176400,146800,25.053373,50
777600,9.8,10.4,0.47645,30,202362.9403,45471.06667,64370.88,176400,144500,25.21913,50
781200,9.42,11.16,0.47645,30,203397.9055,131866.0933,186073.3728,170520,131900,25.412767,50
784800,9.34,11.32,0.47645,30,205128.07,150054.52,211738.6656,170520,127500,25.49652,50
788400,9.19,11.62,0.47645,30,206079.7531,184157.82,258179.1408,158760,141100,25.660719,50
792000,8.85,12.3,0.47645,30,202970.8636,261458.6333,365356.656,152880,139500,25.904581,50
795600,8.58,12.84,0.47645,30,193049.9541,322844.5733,449661.744,147000,138400,26.049648,50
799200,8.57,12.86,0.47645,30,178896.0941,325118.1267,452828.376,147000,138200,26.115562,50
802800,8.38,13.24,0.47645,30,171442.9135,368315.64,555043.104,294000,135100,26.178192,50
806400,8.5,13,0.47645,30,186230.0485,341033,552862.8,441000,134700,26.179308,50
810000,8.3,13.4,0.47645,30,237463.7243,386504.0667,688353.12,646800,135900,26.279217,50
813600,8.3,13.4,0.47645,30,331381.285,386504.0667,688353.12,646800,138500,26.257935,50
817200,8.39,13.22,0.47645,30,456212.8848,366042.0867,760562.712,1029000,138800,26.151043,50
820800,8.6,12.8,0.47645,30,587783.0927,318297.4667,697697.28,1176000,150300,25.913313,50
824400,9.06,11.88,0.47645,30,699115.7869,213714.0133,478213.344,1234800,149400,26.029291,50
828000,7.91,14.18,0.47645,30,764002.355,475172.6467,1063261.584,1234800,135300,26.32714,50
831600,8.7,12.6,0.47645,30,774710.5839,295561.9333,647861.76,1176000,135500,26.11587,50
835200,8.26,13.48,0.47645,30,739721.3484,395598.28,821974.608,1029000,154100,26.204672,50
838800,8.59,12.82,0.47645,30,673400.1021,320571.02,629484.912,882000,137300,26.144142,50
842400,8.29,13.42,0.47645,30,600514.2898,388777.62,719033.112,735000,174600,26.222692,50
846000,8.49,13.02,0.47645,30,538714.6312,343306.5533,595742.112,588000,156400,26.244398,50
849600,8.12,13.76,0.47645,30,494916.3619,427428.0267,692921.376,441000,156800,26.456581,50
853200,8.02,13.96,0.47645,30,474801.6555,450163.56,698943.168,352800,158100,26.536259,50
856800,7.96,14.08,0.47645,30,474813.0134,463804.88,688353.12,264600,156500,26.636812,50
860400,7.74,14.52,0.47645,30,490453.5216,513823.0533,727390.944,176400,156600,26.756113,50
864000,7.74,14.52,0.47645,30,520850.8662,513823.0533,727390.944,176400,160600,26.795353,50
867600,7.63,14.74,0.47645,30,558284.1329,538832.14,760334.2992,170520,154900,26.842638,50
871200,7.67,14.66,0.47645,30,589694.23,529737.9267,747501.6528,170520,162600,26.809095,50
874800,7.72,14.56,0.47645,30,598854.4337,518370.16,726726.4704,158760,157700,26.84798,50
878400,7.5,15,0.47645,30,569359.3994,568388.3333,794253.6,152880,157300,26.907284,50
882000,7.68,14.64,0.47645,30,500155.2252,527464.3733,734658.624,147000,156600,26.812544,50
